3366e8af-e278-455f-b280-c3db81759ff4|312POS
e2c7c637-056a-4143-988f-454d37adbe9a|5masa
67688a79-d06b-414c-9cf4-2d731d6e916f|A101
358ba143-34b4-43f0-bdff-10178d17a4c6|ACIBADEM
d16a4718-22d6-4d99-bcd8-6193cbedbc10|ACIBADEM TECHNOLOGY
2f1bb4c4-efd9-4b78-9dea-f1f37a3ab5ae|ACK FOOD SOLUTIONS (BODRUM)
d32aa416-1974-4503-a780-e5c18cdfe7f3|ADİL IŞIK
c0fcc5ce-77f9-4662-9b75-204a3d754ab0|ADİSYO
1d310b65-3e6f-4ac7-a418-5ff8cca29348|ADORE
56226357-9adc-49dd-8cf5-8bae753d35e4|AKBAL GIDA
56202780-c3fe-4fc6-a003-530d213cc440|AKBANK
7c3b6a51-4e85-4a60-ad15-03456205f30e|AKER
7730e2d6-fcb6-4b96-87ed-e8556577c887|AKGÜN YAZILIM
c45d34e6-bd9f-4500-94ee-c3e1eb836a20|AKILLI OTOMAT
94723689-f586-436f-a1d4-a0a92b03a5ed|AKINSOFT
be184e07-eec9-4cca-ad9c-db264c7a6cf7|Akıllı Otomat
497b06d7-78e0-4b68-95ee-15d0a8bafcd0|AKÖDE
2ab7918a-787b-44ec-9ddd-0a8785902ea6|Aksa
9a2c64db-54cc-4f51-91a6-ef23e949ed90|Aksiyon
0ce6e3ba-cf77-475a-8734-10d0ac35dde0|AKSU GÖZTEPE HASTANESİ
55187749-b15c-4420-bff1-5fedb9d5054b|AKTİF İNTERNATİONAL
83ceb610-48d3-4eec-8175-22498c2ea27c|Aktive Otomat
9142e677-999b-42bf-82e3-3e36aacd7e88|ALLIANCE HEALTCARE
b466fed0-9eb5-4277-bfa8-a24649716635|ALPEDO
238398a7-6f9c-4679-82cd-f5be4042bc8b|ALPET PETROL
f6f462f9-b5d4-4761-9885-cbac0bb376db|ALTINYILDIZ
5859df8c-dd26-428e-b10b-9969808e2265|ALTIPARMAK
61c56cdd-53c2-4167-b9a6-7d5c33d17569|ALTUNBİLEKLER
81f8931e-3296-46b8-9d6a-c904015b2b74|ALTUN MARKET
629ab1be-87fc-4015-9d49-9f52fcf601e9|AMERİKAN HASTANESİ
0409aff2-dbe2-4e87-8107-65d1cc416a4d|ANADOLU EFES
e62a5890-8647-49b6-94b6-07530ded7d0b|ANADOLU YAZILIM EVİ
6749cf19-01e5-4d32-8bf2-471f01fbe60a|Ankara Belediye Pomsan Otomat
